,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,Filas-0-20231214-09:15:49-4678,RedeFilas.sink1,Ave delay,1.1411263632876,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=0.9",0.7/0.9/0.7/0.9,"0.7,0.9,0.7,0.9-","$0=0.7, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4678,0,#0,results,0,0
1,Filas-0-20231214-09:15:49-4678,RedeFilas.sink2,Ave delay,12.920898100097,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=0.9",0.7/0.9/0.7/0.9,"0.7,0.9,0.7,0.9-","$0=0.7, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4678,0,#0,results,0,0
2,Filas-1-20231214-09:15:49-4683,RedeFilas.sink1,Ave delay,1.1423967683508,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=1.7",0.7/0.9/0.7/1.7,"0.7,0.9,0.7,1.7-","$0=0.7, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4683,0,#0,results,1,1
3,Filas-1-20231214-09:15:49-4683,RedeFilas.sink2,Ave delay,9.2666930978892,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=1.7",0.7/0.9/0.7/1.7,"0.7,0.9,0.7,1.7-","$0=0.7, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4683,0,#0,results,1,1
4,Filas-2-20231214-09:15:49-4688,RedeFilas.sink1,Ave delay,1.2326025270629,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=0.9",0.7/0.9/1.5/0.9,"0.7,0.9,1.5,0.9-","$0=0.7, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4688,0,#0,results,2,2
5,Filas-2-20231214-09:15:49-4688,RedeFilas.sink2,Ave delay,3.2564317801324,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=0.9",0.7/0.9/1.5/0.9,"0.7,0.9,1.5,0.9-","$0=0.7, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4688,0,#0,results,2,2
6,Filas-3-20231214-09:15:50-4693,RedeFilas.sink1,Ave delay,4.0148740489164,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=1.7",0.7/0.9/1.5/1.7,"0.7,0.9,1.5,1.7-","$0=0.7, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4693,0,#0,results,3,3
7,Filas-3-20231214-09:15:50-4693,RedeFilas.sink2,Ave delay,1.4887214780478,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=1.7",0.7/0.9/1.5/1.7,"0.7,0.9,1.5,1.7-","$0=0.7, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4693,0,#0,results,3,3
8,Filas-4-20231214-09:15:50-4698,RedeFilas.sink1,Ave delay,1.0616815164068,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=0.9",0.7/1.3/0.7/0.9,"0.7,1.3,0.7,0.9-","$0=0.7, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4698,0,#0,results,4,4
9,Filas-4-20231214-09:15:50-4698,RedeFilas.sink2,Ave delay,7.6350894454861,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=0.9",0.7/1.3/0.7/0.9,"0.7,1.3,0.7,0.9-","$0=0.7, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4698,0,#0,results,4,4
